1.400000000000000000e+01,0.000000000000000000e+00,2.080000000000000000e+02,2.050000000000000000e+02,4.000000000000000000e+01
4.400000000000000000e+01,3.500000000000000000e+01,1.570000000000000000e+02,1.570000000000000000e+02,1.000000000000000000e+01
4.900000000000000000e+01,3.700000000000000000e+01,1.760000000000000000e+02,1.740000000000000000e+02,2.600000000000000000e+01
5.200000000000000000e+01,3.800000000000000000e+01,2.010000000000000000e+02,1.980000000000000000e+02,4.600000000000000000e+01
7.300000000000000000e+01,4.700000000000000000e+01,1.330000000000000000e+02,1.260000000000000000e+02,1.120000000000000000e+02
6.700000000000000000e+01,5.500000000000000000e+01,1.200000000000000000e+02,1.170000000000000000e+02,3.000000000000000000e+01
8.000000000000000000e+01,5.600000000000000000e+01,1.690000000000000000e+02,1.600000000000000000e+02,1.470000000000000000e+02
7.400000000000000000e+01,5.700000000000000000e+01,1.780000000000000000e+02,1.740000000000000000e+02,6.200000000000000000e+01
8.300000000000000000e+01,6.100000000000000000e+01,1.890000000000000000e+02,1.820000000000000000e+02,1.270000000000000000e+02
9.300000000000000000e+01,6.200000000000000000e+01,1.140000000000000000e+02,1.050000000000000000e+02,2.150000000000000000e+02
8.400000000000000000e+01,6.200000000000000000e+01,2.060000000000000000e+02,1.920000000000000000e+02,2.460000000000000000e+02
8.200000000000000000e+01,6.900000000000000000e+01,1.380000000000000000e+02,1.320000000000000000e+02,7.100000000000000000e+01
7.800000000000000000e+01,7.100000000000000000e+01,1.020000000000000000e+02,9.900000000000000000e+01,2.600000000000000000e+01
1.410000000000000000e+02,7.400000000000000000e+01,1.010000000000000000e+02,7.900000000000000000e+01,7.120000000000000000e+02
1.180000000000000000e+02,9.200000000000000000e+01,1.310000000000000000e+02,1.180000000000000000e+02,2.410000000000000000e+02
1.260000000000000000e+02,9.800000000000000000e+01,5.400000000000000000e+01,4.600000000000000000e+01,1.540000000000000000e+02
1.100000000000000000e+02,1.050000000000000000e+02,3.500000000000000000e+01,3.500000000000000000e+01,6.000000000000000000e+00
1.570000000000000000e+02,1.320000000000000000e+02,1.500000000000000000e+01,4.000000000000000000e+00,1.830000000000000000e+02
1.420000000000000000e+02,1.360000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+00,7.000000000000000000e+00
1.570000000000000000e+02,1.540000000000000000e+02,3.000000000000000000e+00,2.000000000000000000e+00,7.000000000000000000e+00
1.570000000000000000e+02,1.550000000000000000e+02,1.360000000000000000e+02,1.330000000000000000e+02,1.100000000000000000e+01
